,VDD,Temperature,Rotation Speed,Gradient
123,3.363,21.64,161,0
124,3.363,21.82,159,0
125,3.363,21.82,159,0
126,3.363,21.64,159,0
127,3.363,23.82,158,15
128,3.363,23.82,158,15
129,3.363,21.64,158,15
130,3.363,21.64,159,15
131,3.363,21.64,160,0
132,3.363,21.64,159,10
133,3.363,21.64,159,15
134,3.363,21.64,159,15
135,3.363,21.64,159,10
136,3.363,21.64,160,15
137,3.363,21.64,161,0
138,3.363,21.45,161,15
139,3.363,21.64,160,15
140,3.363,21.64,159,15
141,3.363,21.64,160,20
142,3.363,21.64,160,15
143,3.363,21.64,159,15
144,3.363,21.64,160,15
145,3.363,21.64,161,0
146,3.363,21.64,160,0
147,3.363,21.64,160,0
148,3.363,21.45,160,0
149,3.363,21.64,159,10
150,3.363,21.64,159,0
151,3.363,21.64,159,0
152,3.363,21.82,159,0
153,3.363,21.64,160,0
154,3.363,21.64,159,10
155,3.363,21.64,159,0
156,3.363,21.64,159,0
157,3.363,21.64,159,10
158,3.363,21.64,158,15
159,3.363,21.64,158,10
160,3.363,21.64,157,10
161,3.363,21.64,159,0
162,3.363,21.64,157,0
163,3.363,23.64,159,0
164,3.363,21.45,158,15
165,3.363,21.45,158,0
166,3.363,21.64,158,0
167,3.41,21.64,158,0
168,3.363,21.45,157,10
169,3.363,21.45,158,0
170,3.363,21.64,158,0
171,3.363,21.45,157,0
172,3.363,21.82,157,15
173,3.363,21.82,159,0
174,3.363,21.64,159,10
175,3.363,21.64,159,10
176,3.363,21.45,160,15
177,3.363,21.82,160,15
178,3.363,21.82,160,0
179,3.363,21.82,160,0
180,3.363,21.64,160,15
181,3.363,21.64,161,0
182,3.363,21.64,160,5
183,3.363,23.82,160,5
184,3.363,21.82,160,0
185,3.363,21.64,160,0
186,3.363,21.64,159,0
187,3.363,23.64,159,0
188,3.363,21.64,161,0
189,3.363,21.64,161,0
190,3.363,21.64,161,0
191,3.363,21.64,161,0
192,3.363,21.64,161,0
193,3.363,21.64,161,15
194,3.363,21.45,162,0
195,3.363,21.82,162,10
196,3.363,21.82,162,10
197,3.363,21.64,162,10
198,3.363,21.64,161,-5
199,3.363,21.64,161,0
200,3.363,21.45,161,0
201,3.363,21.64,160,10
202,3.363,21.64,158,10
203,3.363,21.64,158,10
204,3.363,23.82,159,10
205,3.363,21.45,159,0
206,3.41,21.64,158,15
207,3.41,21.64,158,15
208,3.363,19.45,159,15
209,3.363,21.64,158,15
210,3.363,21.64,158,0
211,3.363,21.64,158,15
212,3.363,21.64,158,15
